Family Number	Protein Family
641	anoctamin family
642	ANP1/MMN9/VAN1 family
643	ANP32 family
644	antenna complex alpha subunit family
645	antenna complex beta subunit family
646	anthranilate phosphoribosyltransferase family
647	anthranilate synthase component I family
648	anthranilate synthase component I family. Salicylate synthase subfamily
649	anthrone oxygenase family
650	anti-CBASS protein Acb1 family
651	anti-Pycsar protein Apyc1 family
652	anti-sigma-factor antagonist family
653	anti-sigma-factor family
654	anti-sigma-K factor family
655	antibiotic biosynthesis monooxygenase family
656	antibiotic biosynthesis monooxygenase family. Heme-degrading monooxygenase IsdG subfamily
657	antibiotic N-acetyltransferase family
658	antifungal protein pafB family
659	antigen I/II family
660	antirestriction protein family
661	Antp homeobox family
662	Antp homeobox family. Deformed subfamily
663	Antp homeobox family. IPF1/XlHbox-8 subfamily
664	Antp homeobox family. Labial subfamily
665	Antp homeobox family. Proboscipedia subfamily
666	AOR/FOR family
667	AOX family
668	AP endonuclease 2 family
669	AP-2 family
670	AP180 family
671	AP2/ERF transcription factor family
672	AP2/ERF transcription factor family. AP2 subfamily
673	AP2/ERF transcription factor family. ERF subfamily
674	AP2/ERF transcription factor family. RAV subfamily
675	Ap4A hydrolase family
676	Ap4A hydrolase YqeK family
677	Apa family
678	ApbE family
679	APC1 family
680	APC10 family
681	APC13 family
682	APC15 family
683	APC16 family
684	APC3/CDC27 family
685	APC4 family
686	APC5 family
687	APC6/CDC16 family
688	APC7 family
689	APC8/CDC23 family
690	APCDD1 family
691	APD1 family
692	apelin family
693	APH-1 family
694	API5 family
695	apicomplexan parasites AMA1 family
696	apidaecin family
697	APLF family
698	ApnO family
699	APO family
700	apolipoprotein A1/A4/E family
701	apolipoprotein A2 family
702	apolipoprotein C1 family
703	apolipoprotein C2 family
704	apolipoprotein C3 family
705	apolipoprotein C4 family
706	apolipoprotein F family
707	apolipoprotein L family
708	apolipoprotein O/MICOS complex subunit Mic27 family
709	apolipoprotein O/MICOS complex subunit Mic27 family. Yeast Mic26 subfamily
710	apovitellenin family
711	APP family
712	APQ12 family
713	APS kinase family
714	APS reductase family
715	APS1/VSP family
716	apyrase family
717	aquareoviridae NS2 protein family
718	aquareoviridae outer capsid VP1 protein family
719	aquareoviridae outer capsid VP4 protein family
720	aquareoviridae outer capsid VP7 protein family
721	arabinose isomerase family
722	ARC/ARG3.1 family
723	archaeal 6-HMPDK family
724	archaeal adenylate kinase family
725	archaeal ATPase family
726	archaeal dihydroneopterin aldolase family
727	archaeal DNA polymerase II family
728	archaeal DnaG primase family
729	archaeal FAD synthase family
730	archaeal FlaG family
731	archaeal flagellin family
732	archaeal histone HMF family
733	archaeal IMP cyclohydrolase family
734	archaeal MetE family
735	archaeal N-glycosylase/DNA lyase (AGOG) family
736	archaeal NMN adenylyltransferase family
737	archaeal phosphopantothenate synthetase family
738	archaeal riboflavin kinase family
739	archaeal Rpo10/eukaryotic RPB10 RNA polymerase subunit family
740	archaeal Rpo11/eukaryotic RPB11/RPC19 RNA polymerase subunit family
741	archaeal Rpo12/eukaryotic RPC10 RNA polymerase subunit family
742	archaeal Rpo13 RNA polymerase subunit family
743	archaeal Rpo3/eukaryotic RPB3 RNA polymerase subunit family
744	archaeal Rpo5/eukaryotic RPB5 RNA polymerase subunit family
745	archaeal Rpo6/eukaryotic RPB6 RNA polymerase subunit family
746	archaeal Rpo8 RNA polymerase subunit family
747	archaeal RpoH/eukaryotic RPB5 RNA polymerase subunit family
748	archaeal RpoK/eukaryotic RPB6 RNA polymerase subunit family
749	archaeal RpoM/eukaryotic RPA12/RPB9/RPC11 RNA polymerase family
750	archaeal RpoN/eukaryotic RPB10 RNA polymerase subunit family
751	archaeal SPP-like hydrolase family
752	archaeal Spt4 family
753	archaeal Spt5 family
754	archaeal-type DHQ synthase family
755	archaeal-type DHQ synthase family. GriH subfamily
756	archaeal-type GPI family
757	archaeal-type GTP cyclohydrolase family
758	archaeal/bacterial/fungal opsin family
759	archaeosine synthase type 1 family
760	archaeosine synthase type 2 family
761	archaeosine tRNA-ribosyltransferase family
762	archease family
763	arenaviridae GPC protein family
764	arenaviridae nucleocapsid protein family
765	Arenaviridae RNA polymerase family
766	arenaviridae Z protein family
767	arenaviridae Z protein family.
768	ARF family
769	Arg-specific ADP-ribosyltransferase family
770	ARG7 family
771	arginase family
772	arginase family. Agmatinase subfamily
773	arginine attenuator peptide family
774	arginine deiminase family
775	arginine N-succinyltransferase family
776	argininosuccinate synthase family
777	argininosuccinate synthase family. Type 1 subfamily
778	argininosuccinate synthase family. Type 2 subfamily
779	ArgJ family
780	argonaute family
781	argonaute family. Ago subfamily
782	argonaute family. Long pAgo subfamily
783	argonaute family. Piwi subfamily
784	argonaute family. Short pAgo subfamily
785	Argonaute family. WAGO subfamily
786	argonaute family. WAGO subfamily
787	ArgR family
788	ARID5B family
789	AriR family
790	Arkadia family
791	ARL2BP family
792	ARL6IP4 family
793	ARL6IP6 family
794	ARMC6 family
795	ARMET family
796	ARMH3 family
797	ArnE family
798	ArnF family
799	aromatic acid exporter (TC 2.A.85) family
800	aromatic acid exporter ArAE (TC 2.A.85) family
801	aromatic amine dehydrogenase heavy chain family
802	aromatic amine dehydrogenase light chain family
803	aromatic prenyltransferase family
804	aromatic-ring hydroxylase family
805	aromatic-ring hydroxylase family. KMO subfamily
806	aromatic-ring hydroxylase family. TetX subfamily
807	AROS family
808	ARPC2 family
809	ARPC3 family
810	ARPC4 family
811	ARPC5 family
812	Arpin family
813	ARR family. Type-A subfamily
814	ARR family. Type-B subfamily
815	ARR family. Type-C subfamily
816	ARR-like family
817	arrestin family
818	arrestin family. PalF/RIM8 subfamily
819	ARS2 family
820	arsA ATPase family
821	ArsB family
822	ArsC family
823	ArsC family. Spx subfamily
824	arsenical resistance-3 (ACR3) (TC 2.A.59) family
825	arsenite-antimonite (ArsB) efflux (TC 2.A.45) family
826	ArsH family
827	ART10 family
828	ARTD/PARP family
829	arteriviridae E protein family
830	arteriviridae GP2b protein family
831	arteriviridae GP3 protein family
832	arteriviridae GP4 protein family
833	arteriviridae GP5 protein family
834	arteriviridae membrane protein family
835	arteriviridae nucleocapsid family
836	arteriviridae polyprotein family
837	arthropod CHH/MIH/GIH/VIH hormone family
838	arthropod CHH/MIH/GIH/VIH hormone family.
839	arthropod PDH family
840	arthropod phospholipase D family. Class I subfamily
841	arthropod phospholipase D family. Class II subfamily
842	arthropod phospholipase D family. Class II subfamily. Class IIa sub-subfamily
843	arthropod phospholipase D family. Class II subfamily. Class IIb sub-subfamily
844	ARV1 family
845	aryl sulfotransferase family
846	arylamine N-acetyltransferase family
847	ASCC2 family
848	ascoviridae capsid protein family
849	ascovirus HvAV ORF146 family
850	ASF1 family
851	asfaviruses V110 family
852	asfivirus A238L family
853	asfivirus B119L family
854	asfivirus B175L family
855	asfivirus B385R family
856	asfivirus D345L family
857	asfivirus DP63R family
858	asfivirus DP71L family
859	asfivirus DP96R family
860	asfivirus E248R family
861	asfivirus envelope protein p54 family
862	asfivirus EP364R family
863	asfivirus F1055L family
864	asfivirus helicase A859L family
865	asfivirus helicase C962R family
866	asfivirus IAP family
867	asfivirus lectin-like protein family
868	asfivirus MGF 110 family
869	asfivirus MGF 360 family
870	asfivirus MGF 505 family
871	ASG1 family
872	ashwin family
873	asilidin-1 family
874	asilidin-12 family
875	AsmA family
876	asp23 family
877	AspA/AstE family. Aspartoacylase subfamily
878	AspA/AstE family. Succinylglutamate desuccinylase subfamily
879	asparaginase 1 family
880	asparaginase 1 family. GatD subfamily
881	asparagine synthetase family
882	aspartate-semialdehyde dehydrogenase family
883	aspartate/glutamate racemases family
884	aspartate/ornithine carbamoyltransferase superfamily
885	aspartate/ornithine carbamoyltransferase superfamily. AOTCase family
886	aspartate/ornithine carbamoyltransferase superfamily. ATCase family
887	aspartate/ornithine carbamoyltransferase superfamily. OTCase family
888	aspartate/ornithine carbamoyltransferase superfamily. PTCase family
889	aspartate/ornithine carbamoyltransferase superfamily. SOTCase family
890	aspartokinase family
891	aspartyl/asparaginyl beta-hydroxylase family
892	ASPP family
893	Asr family
894	Asterix family
895	asteroid family
896	astrotactin family
897	astroviridae capsid polyprotein family
898	astroviridae polyprotein 1A family
899	astroviridae polyprotein 1AB family
900	asunder family
901	Asx family
902	atadenoviridae LH3 protein family
903	ataxin-10 family
904	ataxin-2 family
905	ataxin-7 family
906	ATF1 alcohol acetyltransferase family
907	ATG10 family
908	ATG101 family
909	ATG11 family
910	ATG12 family
911	ATG13 family. Fungi subfamily
912	ATG13 family. Metazoan subfamily
913	ATG13 family. Plant subfamily
914	ATG14 family
915	ATG16 family
916	ATG17 family
917	ATG2 family
918	ATG22 family
919	ATG23 family
920	ATG27 family
921	ATG29 family
922	ATG3 family
923	ATG31 family
924	ATG37 family
925	ATG5 family
926	ATG7 family
927	ATG8 family
928	ATG9 family
929	ATOS family
930	ATP adenylyltransferase family
931	ATP phosphoribosyltransferase family
932	ATP phosphoribosyltransferase family. Long subfamily
933	ATP phosphoribosyltransferase family. Short subfamily
934	ATP-binding cassette (ABC) (TC 3.A.1) superfamily
935	ATP-dependent AMP-binding enzyme family
936	ATP-dependent AMP-binding enzyme family. Benzoate-CoA ligase subfamily
937	ATP-dependent AMP-binding enzyme family. Bubblegum subfamily
938	ATP-dependent AMP-binding enzyme family. Carboxylic acid reductase subfamily
939	ATP-dependent AMP-binding enzyme family. DltA subfamily
940	ATP-dependent AMP-binding enzyme family. EntE subfamily
941	ATP-dependent AMP-binding enzyme family. EntF subfamily
942	ATP-dependent AMP-binding enzyme family. MbtB subfamily
943	ATP-dependent AMP-binding enzyme family. MenE subfamily
944	ATP-dependent DNA ligase family
945	ATP10 family
946	ATP11 family
947	ATP12 family
948	ATP19 family
949	ATP25 family
950	ATP:guanido phosphotransferase family
951	ATPase A chain family
952	ATPase alpha/beta chains family
953	ATPase alpha/beta chains family. T3SS ATPase subfamily
954	ATPase B chain family
955	ATPase C chain family
956	ATPase d subunit family
957	ATPase delta chain family
958	ATPase e subunit family
959	ATPase epsilon chain family
960	ATPase F chain family
961	ATPase g subunit family
962	ATPase gamma chain family
963	ATPase h subunit family
964	ATPase inhibitor family
965	ATPase j subunit family
966	ATPase protein 8 family
967	ATPase protein MI25 family
968	ATPase protein YMF19 family
969	ATR family
970	aTrm56 family
971	AtsA family
972	attacin/sarcotoxin-2 family
973	ATX1 family
974	AtxA/AcpA family
975	ATXN1 family
976	ATXN10 family
977	augurin family
978	AUNIP family
979	AUP1 family
980	AUR1 family
981	aurE cyclase family
982	AurF N-oxygenase family
983	autoinducer synthase family
984	autoinducer-2 exporter (AI-2E) (TC 2.A.86) family
985	autoinducer-regulated transcriptional regulatory protein family
986	autotransporter-2 (AT-2) (TC 1.B.40) family
987	autotransporter-2 (AT-2) (TC 1.B.40) family. Eib subfamily
988	AUTS2 family
989	Aux/IAA family
990	auxin efflux carrier (TC 2.A.69) family
991	auxin efflux carrier (TC 2.A.69.1) family
992	auxin efflux carrier (TC 2.A.69.2) family
993	avfA family
994	avian keratin family
995	avibirnavirus/aquabirnavirus VP5 protein family
996	avidin/streptavidin family
997	avihepadnavirus core antigen family
998	avihepadnavirus major surface antigen family
999	avihepadnavirus precore antigen family
1000	AVIT (prokineticin) family
1001	AVL9 family
1002	AXUD1 family
1003	AzlC family
1004	AzlD/HI_1737/HP1330 family
1005	azoreductase type 1 family
1006	azoreductase type 2 family
1007	B9D family
1008	BA14k family
1009	BABAM2 family
1010	BABR hydratase family
1011	bacilliredoxin family
1012	bacillus TGase family
1013	bacterial AtpI family
1014	bacterial beta-galactosidase small subunit family
1015	bacterial binary toxin family
1016	bacterial CoaD family
1017	bacterial diacylglycerol kinase family
1018	bacterial exotoxin subunit A family
1019	bacterial flagellin family
1020	bacterial glucokinase family
1021	bacterial histone-like protein family
1022	bacterial HORMA family. HORMA1 subfamily
1023	bacterial HORMA family. HORMA2 subfamily
1024	bacterial ice nucleation protein family
1025	bacterial lectin family
1026	bacterial luciferase oxidoreductase family
1027	bacterial microcompartments protein family
1028	bacterial microcompartments protein family. CcmK subfamily
1029	bacterial microcompartments protein family. CsoS1 subfamily
1030	bacterial phospholipase C family
1031	bacterial PQQ dehydrogenase family
1032	bacterial renalase family
1033	bacterial reverse transcriptase family
1034	bacterial ribosomal protein bL12 family
1035	bacterial ribosomal protein bL17 family
1036	bacterial ribosomal protein bL19 family
1037	bacterial ribosomal protein bL20 family
1038	bacterial ribosomal protein bL21 family
1039	bacterial ribosomal protein bL25 family
1040	bacterial ribosomal protein bL25 family. CTC subfamily
1041	bacterial ribosomal protein bL27 family
1042	bacterial ribosomal protein bL28 family
1043	bacterial ribosomal protein bL31 family. Type A subfamily
1044	bacterial ribosomal protein bL31 family. Type B subfamily
1045	bacterial ribosomal protein bL32 family
1046	bacterial ribosomal protein bL33 family
1047	bacterial ribosomal protein bL34 family
1048	bacterial ribosomal protein bL35 family
1049	bacterial ribosomal protein bL36 family
1050	bacterial ribosomal protein bL9 family
1051	bacterial ribosomal protein bS1 family
1052	bacterial ribosomal protein bS16 family
1053	bacterial ribosomal protein bS18 family
1054	bacterial ribosomal protein bS18 family. Mitochondrion-specific ribosomal protein mL66 subfamily
1055	bacterial ribosomal protein bS18 family. Mitochondrion-specific ribosomal protein mS40 subfamily
1056	bacterial ribosomal protein bS20 family
1057	bacterial ribosomal protein bS21 family
1058	bacterial ribosomal protein bS6 family
1059	bacterial ribosomal protein bTHX family
1060	bacterial ring-hydroxylating dioxygenase alpha subunit family
1061	bacterial ring-hydroxylating dioxygenase alpha subunit family. CntA subfamily
1062	bacterial ring-hydroxylating dioxygenase beta subunit family
1063	bacterial ring-hydroxylating dioxygenase ferredoxin component family
1064	bacterial ring-hydroxylating dioxygenase ferredoxin reductase component family
1065	bacterial ring-hydroxylating dioxygenase ferredoxin reductase family
1066	bacterial secretin family
1067	bacterial secretin family. GSP D subfamily
1068	bacterial secretin family. PilQ subfamily
1069	bacterial secretin family. T3SS SctC subfamily
1070	bacterial solute-binding protein 1 family
1071	bacterial solute-binding protein 1 family. WtpA subfamily
1072	bacterial solute-binding protein 2 family
1073	bacterial solute-binding protein 3 family
1074	bacterial solute-binding protein 5 family
1075	bacterial solute-binding protein 7 family
1076	bacterial solute-binding protein 8 family
1077	bacterial solute-binding protein 9 family
1078	bacterial solute-binding protein 9 family. Lipoprotein receptor antigen (Lrai) subfamily
1079	bacterial solute-binding protein ModA family
1080	bacterial solute-binding protein PotD/PotF family
